,images,labels
0,image_0.jpg,image_0.txt
1,image_1.jpg,image_1.txt
2,image_2.jpg,image_2.txt
3,image_3.jpg,image_3.txt
4,image_4.jpg,image_4.txt
5,image_5.jpg,image_5.txt
6,image_6.jpg,image_6.txt
7,image_7.jpg,image_7.txt
8,image_8.jpg,image_8.txt
9,image_9.jpg,image_9.txt
10,image_10.jpg,image_10.txt
11,image_11.jpg,image_11.txt
12,image_12.jpg,image_12.txt
13,image_13.jpg,image_13.txt
14,image_14.jpg,image_14.txt
15,image_15.jpg,image_15.txt
16,image_16.jpg,image_16.txt
17,image_17.jpg,image_17.txt
18,image_18.jpg,image_18.txt
19,image_19.jpg,image_19.txt
20,image_20.jpg,image_20.txt
21,image_21.jpg,image_21.txt
22,image_22.jpg,image_22.txt
23,image_23.jpg,image_23.txt
24,image_24.jpg,image_24.txt
25,image_25.jpg,image_25.txt
26,image_26.jpg,image_26.txt
27,image_27.jpg,image_27.txt
28,image_28.jpg,image_28.txt
29,image_29.jpg,image_29.txt
30,image_30.jpg,image_30.txt
31,image_31.jpg,image_31.txt
32,image_32.jpg,image_32.txt
33,image_33.jpg,image_33.txt
34,image_34.jpg,image_34.txt
35,image_35.jpg,image_35.txt
36,image_36.jpg,image_36.txt
37,image_37.jpg,image_37.txt
38,image_38.jpg,image_38.txt
39,image_39.jpg,image_39.txt
40,image_40.jpg,image_40.txt
41,image_41.jpg,image_41.txt
42,image_42.jpg,image_42.txt
43,image_43.jpg,image_43.txt
44,image_44.jpg,image_44.txt
45,image_45.jpg,image_45.txt
46,image_46.jpg,image_46.txt
47,image_47.jpg,image_47.txt
48,image_48.jpg,image_48.txt
49,image_49.jpg,image_49.txt
50,image_50.jpg,image_50.txt
51,image_51.jpg,image_51.txt
52,image_52.jpg,image_52.txt
53,image_53.jpg,image_53.txt
54,image_54.jpg,image_54.txt
55,image_55.jpg,image_55.txt
56,image_56.jpg,image_56.txt
57,image_57.jpg,image_57.txt
58,image_58.jpg,image_58.txt
59,image_59.jpg,image_59.txt
60,image_60.jpg,image_60.txt
61,image_61.jpg,image_61.txt
62,image_62.jpg,image_62.txt
63,image_63.jpg,image_63.txt
64,image_64.jpg,image_64.txt
65,image_65.jpg,image_65.txt
66,image_66.jpg,image_66.txt
67,image_67.jpg,image_67.txt
68,image_68.jpg,image_68.txt
69,image_69.jpg,image_69.txt
70,image_70.jpg,image_70.txt
71,image_71.jpg,image_71.txt
72,image_72.jpg,image_72.txt
73,image_73.jpg,image_73.txt
74,image_74.jpg,image_74.txt
75,image_75.jpg,image_75.txt
76,image_76.jpg,image_76.txt
77,image_77.jpg,image_77.txt
78,image_78.jpg,image_78.txt
79,image_79.jpg,image_79.txt
80,image_80.jpg,image_80.txt
81,image_81.jpg,image_81.txt
82,image_82.jpg,image_82.txt
83,image_83.jpg,image_83.txt
84,image_84.jpg,image_84.txt
85,image_85.jpg,image_85.txt
86,image_86.jpg,image_86.txt
87,image_87.jpg,image_87.txt
88,image_88.jpg,image_88.txt
89,image_89.jpg,image_89.txt
90,image_90.jpg,image_90.txt
91,image_91.jpg,image_91.txt
92,image_92.jpg,image_92.txt
93,image_93.jpg,image_93.txt
94,image_94.jpg,image_94.txt
95,image_95.jpg,image_95.txt
96,image_96.jpg,image_96.txt
97,image_97.jpg,image_97.txt
98,image_98.jpg,image_98.txt
99,image_99.jpg,image_99.txt
100,image_100.jpg,image_100.txt
101,image_101.jpg,image_101.txt
102,image_102.jpg,image_102.txt
103,image_103.jpg,image_103.txt
104,image_104.jpg,image_104.txt
105,image_105.jpg,image_105.txt
106,image_106.jpg,image_106.txt
107,image_107.jpg,image_107.txt
108,image_108.jpg,image_108.txt
109,image_109.jpg,image_109.txt
110,image_110.jpg,image_110.txt
111,image_111.jpg,image_111.txt
112,image_112.jpg,image_112.txt
113,image_113.jpg,image_113.txt
114,image_114.jpg,image_114.txt
115,image_115.jpg,image_115.txt
116,image_116.jpg,image_116.txt
